id,class
1,dusk
2,water
3,flowers
4,cold
5,water
6,scene
7,impressions
8,water
9,water
10,water
11,water
12,flowers
13,water
14,cold
15,water
16,dusk
17,impressions
18,water
19,water
20,cold
21,cold
22,flowers
23,cold
24,water
25,dusk
26,scene
27,impressions
28,cold
29,water
30,dusk
31,water
32,water
33,water
34,dusk
35,trees
36,water
37,water
38,cold
39,cold
40,water
41,water
42,cold
43,dusk
44,cold
45,dusk
46,flowers
47,flowers
48,trees
49,water
50,dusk
51,water
52,impressions
53,water
54,trees
55,water
56,water
57,impressions
58,cold
59,dusk
60,water
61,dusk
62,flowers
63,dusk
